country_code,country_name,year,coal_share_energy,oil_share_energy,gas_share_energy,nuclear_share_energy,renewables_share_energy,hydro_share_energy,solar_share_energy,wind_share_energy,biofuel_share_energy,primary_energy_consumption
ISR,Israel,2016,22.877138137817383,42.63190460205078,32.74523162841797,0.0,1.7457271814346311,0.0227515064179897,1.4661184549331665,0.0269109606742858,0.0939235687255859,280.57037353515625
ISR,Israel,2017,20.38968849182129,43.648250579833984,34.21186828613281,0.0,1.750194072723389,0.0215975120663642,1.439191818237305,0.0266316179186105,0.1259700059890747,285.6855163574219
ISR,Israel,2018,18.76691055297852,43.116302490234375,36.226341247558594,0.0,1.8904427289962769,0.0195893477648496,1.5577943325042725,0.0344042479991912,0.144898384809494,292.2115478515625
ISR,Israel,2019,19.23646545410156,42.23814392089844,35.622657775878906,0.0,2.9027321338653564,0.0181291345506906,2.5613114833831787,0.0504970699548721,0.1617505103349685,301.5059814453125
ISR,Israel,2020,17.74254608154297,38.62083053588867,39.61259078979492,0.0,4.0240325927734375,0.0207571908831596,3.6135213375091553,0.0541467741131782,0.2067379057407379,285.1354064941406
ISR,Israel,2021,15.533282279968262,39.28426361083984,40.29370880126953,0.0,4.888744831085205,0.0201272293925285,4.525697231292725,0.0365812219679355,0.195748895406723,292.0443420410156
ISR,Israel,2022,14.477001190185549,40.569454193115234,39.56620407104492,0.0,5.38734245300293,0.0187983326613903,4.870689392089844,0.1520920991897583,0.232512816786766,307.8379821777344
ISR,Israel,2023,12.429142951965332,42.62886428833008,37.11212539672852,0.0,7.8298659324646,0.0200320370495319,7.076377868652344,0.3410518765449524,0.2696019113063812,284.3895874023437
ISR,Israel,2024,11.136218070983888,41.490020751953125,37.57891845703125,0.0,9.794842720031738,0.0205722991377115,8.95783519744873,0.3504345417022705,0.3398195803165436,277.7741394042969
ITA,Italy,1965,10.888460159301758,66.2876205444336,8.004267692565918,1.058234453201294,13.761419296264648,12.853779792785645,0.0,0.0,0.0,928.4622802734376
ITA,Italy,1966,10.424562454223633,67.27974700927734,8.04450511932373,1.07204008102417,13.17914867401123,12.132952690124512,0.0,0.0,0.0,1008.3043823242188
ITA,Italy,1967,10.539881706237791,68.70417022705078,8.107110023498535,0.8070451617240906,11.84179401397705,10.840828895568848,0.0,0.0,0.0,1091.9742431640625
ITA,Italy,1968,9.44167137145996,70.07060241699219,8.806715965270996,0.6100765466690063,11.070929527282717,10.107234954833984,0.0,0.0,0.0,1179.9842529296875
ITA,Italy,1969,8.998132705688477,71.6603012084961,8.977561950683594,0.3691888153553009,9.994813919067385,9.05183219909668,0.0,0.0,0.0,1270.033203125
ITA,Italy,1970,8.226289749145508,73.38920593261719,8.768356323242188,0.6322445273399353,8.983904838562012,8.037031173706055,0.0,0.0,0.0,1402.1239013671875
ITA,Italy,1971,7.545148849487305,74.93778991699219,8.600147247314453,0.6359894871711731,8.280927658081055,7.385982990264893,0.0,0.0,0.0,1476.255615234375
ITA,Italy,1972,6.695559024810791,75.02205657958984,9.404670715332031,0.6535245776176453,8.224185943603516,7.452270984649658,0.0,0.0,0.0,1548.18212890625
ITA,Italy,1973,6.5053019523620605,75.61327362060547,10.11681079864502,0.5422557592391968,7.222360610961914,6.475831508636475,0.0,0.0,0.0,1615.8226318359375
ITA,Italy,1974,7.086607933044434,73.59285736083984,11.38222885131836,0.5887179374694824,7.34958553314209,6.525099754333496,0.0,0.0,0.0,1615.333251953125
ITA,Italy,1975,7.261420726776123,70.63533020019531,13.404053688049316,0.6704546809196472,8.028738975524902,7.237558364868164,0.0,0.0,0.0,1581.35302734375
ITA,Italy,1976,6.819327831268311,69.90985870361328,15.37152862548828,0.6361671686172485,7.263116836547852,6.546488761901856,0.0,0.0,0.0,1668.908447265625
ITA,Italy,1977,6.692584991455078,67.84762573242188,15.66697597503662,0.5645185708999634,9.228293418884276,8.528482437133789,0.0,0.0,0.0,1674.358154296875
ITA,Italy,1978,6.639934539794922,69.48827362060547,15.054661750793455,0.7202521562576294,8.096879959106445,7.399501323699951,0.0,0.0,0.0,1715.523681640625
ITA,Italy,1979,7.064877986907959,69.60044860839844,14.995657920837402,0.4144422709941864,7.924571990966797,7.24595832824707,0.0,0.0,0.0,1769.164794921875
ITA,Italy,1980,8.507173538208008,67.81599426269531,15.275524139404297,0.3573715686798095,8.043935775756836,7.322880268096924,0.0,0.0,0.0,1723.792724609375
ITA,Italy,1981,8.904182434082031,67.76311492919922,15.126699447631836,0.4474623501300812,7.758542537689209,7.113445281982422,0.0,0.0,0.0,1687.6260986328125
ITA,Italy,1982,10.157780647277832,65.65351867675781,15.380352973937988,1.1475484371185305,7.660799980163574,6.992725372314453,0.0,0.0,0.0,1654.091796875
ITA,Italy,1983,9.711971282958984,65.33741760253906,16.156230926513672,0.9963324069976808,7.798049449920654,7.140410900115967,0.0,0.0,0.0,1619.34033203125
ITA,Italy,1984,10.846426010131836,61.386375427246094,18.74259757995605,1.1684105396270752,7.856191635131836,7.193521022796631,0.0,0.0,0.0,1644.550537109375
ITA,Italy,1985,10.759076118469238,61.356258392333984,19.139278411865234,1.1972674131393433,7.54811954498291,7.004286766052246,0.0,0.0,0.0,1636.660400390625
ITA,Italy,1986,10.296048164367676,61.16493606567383,19.701154708862305,1.4533638954162598,7.384496688842773,6.819758415222168,0.0,0.0,0.0,1681.0067138671875
ITA,Italy,1987,9.918532371520996,61.895484924316406,21.208240509033203,0.0280221682041883,6.949719429016113,6.362159729003906,0.0,0.0,0.0,1731.07373046875
ITA,Italy,1988,9.073323249816896,61.48818206787109,22.45484733581543,0.0,6.983648777008057,6.3932414054870605,0.0,0.0,0.0,1773.7384033203125
ITA,Italy,1989,9.194149017333984,61.44416427612305,23.59016227722168,0.0,5.771523475646973,5.198710918426514,0.0003083785122726,0.000305294728605,0.0,1824.9443359375
ITA,Italy,1990,7.928309440612793,66.35094451904297,21.15315055847168,0.0,4.567595481872559,4.090836048126221,0.00051740166964,0.0002482482523191,0.0,2152.229248046875
ITA,Italy,1991,7.760082721710205,62.95936965942383,23.15594291687012,0.0,6.124602317810059,5.629922866821289,0.0006664365646429,0.0003837059193756,0.0,2090.71630859375
ITA,Italy,1992,6.773053169250488,64.27003479003906,22.82821273803711,0.0,6.128703594207764,5.596696853637695,0.001193608273752,0.0002545292372815,0.0,2101.066162109375
ITA,Italy,1993,6.015543460845947,64.17533874511719,23.65475845336914,0.0,6.154356479644775,5.579171180725098,0.0014814939349889,0.0005169584183022,0.0,2068.862548828125
ITA,Italy,1994,6.368161678314209,64.14053344726562,22.91731834411621,0.0,6.573989391326904,6.0301923751831055,0.0014853355241939,0.0009070230298675,0.0,2064.18212890625
