dauid,christian,no_religion,muslim,hindu,sikh,buddhist,jewish,indigenous_spirituality,other_religion,name
35180886,51.0,20.1,24.8,3.4,0.0,0.0,0.0,0.0,0.0,StatCan area #35180886
35180891,50.5,6.0,29.1,9.7,3.7,0.0,0.0,0.0,0.0,StatCan area #35180891
35180892,46.5,14.8,27.3,8.4,2.7,0.0,0.0,0.0,0.0,StatCan area #35180892
35180893,20.0,34.3,17.1,28.6,0.0,0.0,0.0,0.0,0.0,StatCan area #35180893
35180894,42.1,0.0,0.0,26.3,0.0,0.0,0.0,0.0,0.0,StatCan area #35180894
35180895,33.3,0.0,0.0,57.1,0.0,0.0,0.0,0.0,0.0,StatCan area #35180895
35180896,14.3,0.0,39.3,7.1,0.0,0.0,0.0,0.0,0.0,StatCan area #35180896
35180897,28.6,0.0,0.0,0.0,35.7,0.0,0.0,0.0,0.0,StatCan area #35180897
35180899,76.7,15.5,0.0,5.2,0.0,0.0,0.0,0.0,0.0,StatCan area #35180899
35180900,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #35180900
35180901,32.3,35.5,0.0,32.3,0.0,0.0,0.0,0.0,0.0,StatCan area #35180901
35180902,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #35180902
35180903,50.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #35180903
35180904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #35180904
35180905,68.9,4.1,12.2,9.5,0.0,0.0,0.0,0.0,0.0,StatCan area #35180905
35180906,55.7,15.2,21.5,8.9,0.0,0.0,0.0,0.0,0.0,StatCan area #35180906
35180907,63.7,16.2,8.8,10.0,0.0,0.0,0.0,0.0,0.0,StatCan area #35180907
35180908,65.4,14.0,5.6,0.0,11.2,0.0,0.0,0.0,0.0,StatCan area #35180908
35180909,53.6,19.1,11.8,14.5,0.0,0.0,0.0,0.0,0.0,StatCan area #35180909
35180910,50.0,29.7,16.9,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #35180910
35180911,54.1,20.5,12.3,11.5,0.0,0.0,0.0,0.0,0.0,StatCan area #35180911
35180912,48.5,19.2,20.2,8.1,0.0,0.0,0.0,0.0,0.0,StatCan area #35180912
35180913,46.6,18.6,22.0,12.7,0.0,0.0,0.0,0.0,0.0,StatCan area #35180913
35180914,49.8,10.4,19.0,20.4,0.0,0.0,0.0,0.0,0.0,StatCan area #35180914
35180916,71.0,5.8,7.2,14.5,0.0,0.0,0.0,0.0,0.0,StatCan area #35180916
35180917,69.2,6.4,23.1,0.0,0.0,0.0,2.6,0.0,0.0,StatCan area #35180917
35180918,56.0,14.4,16.8,8.8,0.0,0.0,0.0,0.0,0.0,StatCan area #35180918
35180919,53.3,25.6,17.8,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #35180919
35180920,51.2,25.6,14.0,5.8,0.0,0.0,0.0,0.0,0.0,StatCan area #35180920
35180921,45.1,12.7,14.1,23.9,1.9,0.0,0.0,0.0,0.0,StatCan area #35180921
35180925,30.6,16.7,19.4,0.0,19.4,0.0,0.0,0.0,0.0,StatCan area #35180925
35180927,65.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #35180927
35180928,35.1,13.8,14.9,32.9,2.2,0.7,0.0,0.0,0.0,StatCan area #35180928
35180929,61.8,35.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #35180929
35180930,50.0,38.3,4.5,3.9,0.0,0.0,0.0,0.0,1.3,StatCan area #35180930
35180931,49.3,47.8,0.0,0.0,0.0,0.0,0.0,0.0,1.4,StatCan area #35180931
35180932,58.5,36.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #35180932
35180933,66.0,29.1,0.0,2.9,0.0,0.0,0.0,0.0,0.0,StatCan area #35180933
35180934,47.8,32.7,6.3,4.4,0.0,0.0,0.0,0.0,6.3,StatCan area #35180934
35180935,53.0,30.6,10.4,4.5,0.0,0.0,0.0,0.0,0.0,StatCan area #35180935
35180936,63.3,12.2,14.4,10.0,0.0,0.0,0.0,0.0,0.0,StatCan area #35180936
35180937,59.4,20.8,11.3,6.6,0.0,0.0,0.0,0.0,0.0,StatCan area #35180937
35180938,59.7,26.1,2.5,10.1,0.0,0.0,0.0,0.0,0.0,StatCan area #35180938
35180939,60.2,23.9,6.8,9.1,0.0,0.0,0.0,0.0,0.0,StatCan area #35180939
35180940,62.1,26.4,3.4,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #35180940
35180941,76.9,7.7,0.0,7.7,0.0,0.0,0.0,0.0,0.0,StatCan area #35180941
35180942,0.0,22.2,0.0,33.3,0.0,0.0,0.0,0.0,0.0,StatCan area #35180942
35180943,30.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #35180943
35181038,38.8,26.9,25.4,3.0,0.0,0.0,0.0,0.0,0.0,StatCan area #35181038
