ctuid,name,all_vm,south_asian,chinese,black,filipino,arab,latin_american,southeast_asian,west_asian,korean,japanese,white,indigenous
5350424.08,5350424.08,56.7,6.5,26.7,1.2,0.9,2.3,1.1,0.4,13.1,2.4,0.3,43.0,0.3
5350424.09,5350424.09,51.9,7.1,17.6,3.3,1.5,1.7,1.8,0.5,14.1,2.0,0.0,47.8,0.3
5350424.10,5350424.10,38.4,7.4,10.2,1.3,0.9,2.5,0.4,0.0,10.8,1.2,0.3,61.5,0.0
5350424.11,5350424.11,56.1,7.7,26.2,2.5,0.7,1.1,0.7,0.5,11.9,1.4,0.0,43.4,0.5
5350424.13,5350424.13,82.3,7.0,49.9,2.4,0.4,1.7,2.5,1.2,8.1,5.2,0.4,17.7,0.0
5350424.14,5350424.14,61.5,9.8,22.3,2.5,2.3,2.1,1.2,1.1,12.6,3.7,0.0,38.4,0.2
5350424.15,5350424.15,72.1,9.8,36.0,1.8,1.2,1.6,1.6,0.5,13.9,2.4,0.7,27.8,0.1
5350424.16,5350424.16,73.3,8.9,39.4,1.8,1.2,3.0,0.4,1.7,12.4,2.0,0.0,26.7,0.0
5350430.03,5350430.03,29.3,10.1,8.6,3.0,1.7,0.9,1.3,0.4,0.4,0.6,0.3,69.4,1.3
5350430.05,5350430.05,47.7,16.7,15.4,2.6,4.2,1.2,0.7,1.3,1.7,0.3,0.0,51.3,1.0
5350430.06,5350430.06,64.2,23.0,24.2,3.7,3.5,1.0,1.6,0.4,1.2,0.2,0.6,35.7,0.1
5350430.07,5350430.07,53.2,12.9,24.0,4.1,3.5,1.1,1.4,0.5,2.0,0.5,0.1,45.9,0.8
5350430.08,5350430.08,56.9,17.5,23.1,2.5,3.5,1.5,0.9,1.1,0.6,0.6,0.2,42.7,0.5
5350431.01,5350431.01,25.9,6.5,12.5,1.6,1.2,0.8,0.5,0.4,0.8,0.4,0.5,73.1,1.0
5350431.02,5350431.02,38.6,8.8,19.1,1.3,0.7,1.3,1.1,0.7,1.7,1.3,0.6,60.0,1.4
5350440.00,5350440.00,35.7,3.7,16.4,1.0,1.3,1.1,1.3,0.3,6.0,2.0,0.6,63.5,0.7
5350441.02,5350441.02,31.2,3.6,5.6,2.7,4.2,2.3,1.5,0.0,8.1,1.2,0.0,68.4,0.6
5350441.03,5350441.03,24.8,1.7,7.4,2.4,2.0,0.6,1.0,0.0,7.3,1.2,0.3,73.7,1.5
5350441.04,5350441.04,30.5,4.9,9.0,1.7,0.7,1.0,0.3,0.3,8.6,0.7,0.0,69.5,0.0
5350442.02,5350442.02,27.0,1.8,4.8,2.2,2.4,0.9,1.2,0.7,10.7,1.0,0.5,72.1,0.9
5350442.03,5350442.03,22.0,3.1,7.1,0.7,0.6,0.6,0.6,0.4,7.6,0.7,0.0,77.1,0.8
5350442.04,5350442.04,17.7,4.0,4.7,1.0,1.3,0.0,0.6,0.0,4.3,0.0,0.0,81.7,0.6
5350442.05,5350442.05,39.2,5.6,13.9,1.7,1.9,0.6,3.4,1.1,6.0,1.4,0.1,59.2,1.6
5350442.06,5350442.06,63.9,5.3,39.6,2.7,1.1,1.6,1.6,0.9,6.6,1.7,0.2,35.9,0.2
5350450.02,5350450.02,19.1,3.0,2.8,1.7,2.2,1.1,1.1,2.1,3.2,0.0,0.0,80.0,0.9
5350450.03,5350450.03,31.4,4.2,10.3,2.1,1.6,0.4,1.4,2.1,6.1,1.0,0.3,67.5,1.1
5350450.05,5350450.05,42.3,3.0,13.1,3.1,3.6,3.9,1.5,4.9,6.8,0.6,0.0,57.2,0.5
5350450.06,5350450.06,56.6,5.9,36.3,1.9,1.4,0.8,0.8,0.0,4.2,2.7,0.7,42.6,0.8
5350451.01,5350451.01,19.4,0.0,5.2,0.7,2.1,0.0,0.7,0.5,6.6,0.0,0.0,78.9,1.4
5350451.02,5350451.02,20.1,2.2,2.6,2.4,2.7,0.2,2.1,1.6,4.4,0.7,0.2,78.0,1.8
5350451.03,5350451.03,31.2,2.6,7.8,2.8,2.8,1.3,0.9,2.4,6.9,1.0,0.1,66.9,2.1
5350451.05,5350451.05,30.1,5.5,5.4,3.2,0.6,1.3,2.1,1.2,7.2,1.4,0.0,69.1,0.7
5350451.06,5350451.06,36.2,6.7,5.4,3.5,2.8,0.8,1.5,3.2,8.0,2.0,0.0,63.0,0.9
5350451.07,5350451.07,40.8,5.2,9.4,2.1,3.8,1.0,1.7,4.0,8.6,1.7,0.4,58.8,0.4
5350452.01,5350452.01,18.9,2.8,2.1,2.3,2.3,0.0,0.0,0.0,6.7,0.0,0.0,79.3,1.8
5350452.02,5350452.02,28.9,2.3,1.9,5.6,3.9,0.4,2.0,4.1,5.8,0.6,0.3,69.3,1.9
5350452.03,5350452.03,22.8,3.1,4.2,3.3,1.2,0.4,1.1,1.0,5.7,0.0,0.3,76.0,1.3
5350452.05,5350452.05,52.8,8.0,12.5,3.5,2.7,2.7,2.6,3.6,11.0,1.3,0.0,46.4,0.7
