dauid,christian,no_religion,muslim,hindu,sikh,buddhist,jewish,indigenous_spirituality,other_religion,name
24580116,69.3,18.2,12.5,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24580116
24580117,59.6,32.7,6.7,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24580117
24580118,50.5,32.0,16.5,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24580118
24580119,64.6,32.7,1.8,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24580119
24580120,65.7,22.5,10.8,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24580120
24580121,65.3,24.8,8.3,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24580121
24580122,37.0,58.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,StatCan area #24580122
24580123,46.2,44.1,7.5,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24580123
24580124,56.0,40.5,2.4,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24580124
24580125,68.5,27.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24580125
24580126,38.9,41.1,17.9,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24580126
24580127,34.4,55.2,7.3,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24580127
24580128,45.2,35.6,20.2,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24580128
24580132,30.3,36.7,30.3,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24580132
24580134,65.5,26.1,0.0,0.0,0.0,0.0,0.0,0.0,5.0,StatCan area #24580134
24580135,58.5,29.7,11.9,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24580135
24580136,69.0,15.5,13.4,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24580136
24580137,47.7,23.4,28.0,0.0,0.0,0.0,0.0,0.0,0.0,StatCan area #24580137
